date,month_end,month_avg
2003-03-31,55.4278182983,55.5125761486
2003-04-30,60.1176605225,58.4048670814
2003-05-31,63.4142684937,61.4918650673
2003-06-30,64.0897293091,64.9898745219
2003-07-31,65.2451019287,65.3889236450
2003-08-31,66.5908355713,65.2572918846
2003-09-30,65.8645858765,67.3302710397
2003-10-31,69.3901138306,68.7236815743
2003-11-30,70.1479187012,69.5031858745
2003-12-31,73.6772918701,71.6792685769
2004-01-31,75.1338729858,75.2007396698
2004-02-29,76.1534805298,75.9715865286
2004-03-31,75.1447906494,74.8004389224
2004-04-30,73.7229461670,75.5193899245
2004-05-31,74.9853286743,73.5953834534
2004-06-30,76.3726272583,75.7080586751
2004-07-31,73.9120178223,73.9901537214
2004-08-31,74.0920715332,72.9793770530
2004-09-30,74.8357238770,75.0302414667
2004-10-31,75.8000030518,75.1188979376
2004-11-30,79.1744384766,78.6733405704
2004-12-31,81.5592498779,80.7992432334
2005-01-31,79.7305908203,79.6715579987
2005-02-28,81.3972625732,81.0240229556
2005-03-31,79.9083023071,80.8385807384
2005-04-30,78.4111862183,78.8876429967
2005-05-31,80.9379959106,79.9492499942
2005-06-30,81.0605773926,81.7183844826
2005-07-31,84.1620864868,83.2115734100
2005-08-31,83.3731002808,83.4526566215
2005-09-30,84.0422286987,83.6712835403
2005-10-31,82.0545349121,81.3958838327
2005-11-30,85.6610260010,84.7210322789
2005-12-31,85.4971084595,86.4976054600
2006-01-31,87.5502548218,87.7624382019
2006-02-28,88.0515136719,87.7338497764
2006-03-31,89.5047302246,89.1041409036
2006-04-30,90.6353607178,89.7833854274
2006-05-31,87.9052886963,89.0086593628
2006-06-30,88.1345748901,86.6567226757
2006-07-31,88.5292587280,87.2749141693
2006-08-31,90.4611968994,89.3114458167
2006-09-30,92.9037857056,91.5963268280
2006-10-31,95.8318405151,94.8211430636
2006-11-30,97.7374496460,96.7750443958
2006-12-31,99.0443420410,98.8695858002
2007-01-31,100.5339889526,99.5279464722
2007-02-28,98.5617752075,101.1273534674
2007-03-31,99.7039642334,98.6394303062
2007-04-30,104.1204452515,102.7593578339
2007-05-31,107.6522598267,106.2335850109
2007-06-30,106.0783081055,106.6165462676
2007-07-31,102.7569274902,107.1272968111
2007-08-31,104.0756607056,102.7045181938
2007-09-30,108.1048355103,105.9038804707
2007-10-31,109.5714187622,109.0197239751
2007-11-30,105.3274307251,103.7815428234
2007-12-31,104.1413803101,105.0980014801
2008-01-31,97.8448944092,98.0551794143
2008-02-29,95.3163452148,96.6358097076
2008-03-31,94.4639816284,94.1011753082
2008-04-30,98.9663696289,98.0611939864
2008-05-31,100.4624252319,100.5486097790
2008-06-30,92.0661468506,96.2569053287
2008-07-31,91.2388610840,90.3762588501
2008-08-31,92.6488342285,92.3405409313
2008-09-30,83.9237976074,87.9064276559
2008-10-31,70.0607070923,70.0223060276
2008-11-30,65.1839981079,64.0986890291
2008-12-31,65.8225708008,63.8830500516
2009-01-31,60.4175796509,63.1466930389
2009-02-28,53.9257698059,58.8842751352
2009-03-31,58.4184036255,55.5735829093
2009-04-30,64.2219848633,62.3612810771
2009-05-31,67.9760284424,66.4799201965
2009-06-30,67.9314880371,68.3626972545
2009-07-31,72.9996109009,69.1330243891
2009-08-31,75.6961517334,74.8064418974
2009-09-30,78.3801116943,77.4943244571
2009-10-31,76.8732376099,79.3019367565
2009-11-30,81.6091537476,80.9707729340
2009-12-31,83.1679840088,82.7820334001
2010-01-31,80.1454315186,83.8899162694
2010-02-28,82.6455764771,81.4612956800
2010-03-31,87.6769943237,86.3122130684
2010-04-30,89.0333786011,89.8091397967
2010-05-31,81.9592819214,84.5221195221
2010-06-30,77.7185974121,81.5731568770
2010-07-31,83.0268325806,81.3875717890
2010-08-31,79.2922439575,82.1099607294
